handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
1.01-30-0276,Product,Bottom End - 1162 PI V1.1,,,1.01- Long Block - 1162 PI V1.1,30-0276,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-91-0004,Product,Small End Bearing,,,1.01- Long Block - 1162 PI V1.1,91-0004,,27.94,,,,,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0269,Product,Cylinder - 1162 PI V2 - Sleeve Assy,,,1.01- Long Block - 1162 PI V1.1,30-0269,,0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0284,Product,Piston Kit - Ø95mm Ported,,,1.01- Long Block - 1162 PI V1.1,30-0284,,391.13,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0219,Product,Base Gasket 1200,,,1.01- Long Block - 1162 PI V1.1,30-0219,,57.95,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-92-0016,Product,1/8 BSPT to 3/8 Hose Barb,,,1.01- Long Block - 1162 PI V1.1,92-0016,,23.39,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0104,Product,Anode,,,1.01- Long Block - 1162 PI V1.1,30-0104,,21.49,,,,,Out of Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0271,Product,Cylinder Head V3,,,1.01- Long Block - 1162 PI V1.1,30-0271,,0,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0283,Product,Cylinder Head O-Ring - V2,,,1.01- Long Block - 1162 PI V1.1,30-0283,,0,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0226,Product,Engine Dome 1200 V2,,,1.01- Long Block - 1162 PI V1.1,30-0226,,143.00,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-91-3022,Product,OR-BS-022-FKM O-Ring,,,1.01- Long Block - 1162 PI V1.1,91-3022,,5.41,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-91-3016,Product,OR-BS-045-FKM O-Ring,,,1.01- Long Block - 1162 PI V1.1,91-3016,,5.41,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-01/03/92,Product,Water Elbow,,,1.01- Long Block - 1162 PI V1.1,92-0003,,45.66,,,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-70-0463,Product,Sensor - CLT-Head Temperature Sensor,,,1.01- Long Block - 1162 PI V1.1,70-0463,,6.25,,,,,Out of Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-50-0046,Product,Exhaust Manifold Assembly,,,1.01- Long Block - 1162 PI V1.1,50-0046,,0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-30-0064,Product,Cylinder Exhaust Gasket,,,1.01- Long Block - 1162 PI V1.1,30-0064,,28.82,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-50-0034,Product,Centre Section Assembly,,,1.01- Long Block - 1162 PI V1.1,50-0034,,0,,,,,Out of Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01-91-3000,Product,OR-BS-232-FKM O-Ring,,,1.01- Long Block - 1162 PI V1.1,91-3000,,21.54,,,,,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
